# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=9][T/m^n] 
+1.1000000000000001e+00 +1.6767279636699943e+00 -4.1702007379211024e+00 +7.3825330933373669e+04 -6.1481808566582143e+08 +1.4047475391447939e+12 
+1.2000000000000002e+00 +1.6767267990340700e+00 -4.2015104499458413e+00 +7.4500731867151262e+04 -6.1848886890666234e+08 +1.4109484172362302e+12 
+1.3000000000000000e+00 +1.6767251531996061e+00 -4.2149107662484626e+00 +7.4939878522508196e+04 -6.2095844065251994e+08 +1.4151431430253416e+12 
+1.4000000000000001e+00 +1.6767230556183035e+00 -4.2120902147427604e+00 +7.5167421764079045e+04 -6.2235598527818704e+08 +1.4175514070611799e+12 
+1.5000000000000000e+00 +1.6767205357468815e+00 -4.1947375240101072e+00 +7.5208014655091072e+04 -6.2281069612925315e+08 +1.4183929121111909e+12 
+1.6000000000000001e+00 +1.6767176230359782e+00 -4.1645411780727741e+00 +7.5086307570474586e+04 -6.2245175555954313e+08 +1.4178873459502256e+12 
+1.7000000000000002e+00 +1.6767143469387040e+00 -4.1231897620252225e+00 +7.4826952003087354e+04 -6.2140835050487804e+08 +1.4162544026080720e+12 
+1.8000000000000000e+00 +1.6767107369107808e+00 -4.0723719633004656e+00 +7.4454600556704187e+04 -6.1980967241199088e+08 +1.4137137822419185e+12 
+1.9000000000000001e+00 +1.6767068224052368e+00 -4.0137763648194493e+00 +7.3993904713974669e+04 -6.1778490822366595e+08 +1.4104851789464199e+12 
+2.0000000000000000e+00 +1.6767026328743251e+00 -3.9490915150489942e+00 +7.3469515549530537e+04 -6.1546324312165701e+08 +1.4067882843153987e+12 
+2.1000000000000001e+00 +1.6766981951055562e+00 -3.8798659814860272e+00 +7.2903950696252447e+04 -6.1296194072238326e+08 +1.4028212538771201e+12 
+2.2000000000000002e+00 +1.6766935252322968e+00 -3.8070886092019509e+00 +7.2311196248908062e+04 -6.1035058747525716e+08 +1.3986961112447329e+12 
+2.3000000000000003e+00 +1.6766886367174769e+00 -3.7316080294704537e+00 +7.1703102271378841e+04 -6.0768683758730960e+08 +1.3945033293072241e+12 
+2.4000000000000004e+00 +1.6766835430279052e+00 -3.6542730316461216e+00 +7.1091520578185751e+04 -6.0502835246174753e+08 +1.3903333908099939e+12 
+2.5000000000000000e+00 +1.6766782576273307e+00 -3.5759322778930809e+00 +7.0488301556146253e+04 -6.0243278757449496e+08 +1.3862767703181614e+12 
+2.6000000000000001e+00 +1.6766727939829766e+00 -3.4974345772647748e+00 +6.9905297258909923e+04 -5.9995780537118542e+08 +1.3824239520633628e+12 
+2.7000000000000002e+00 +1.6766671655594818e+00 -3.4196286309031199e+00 +6.9354358520372494e+04 -5.9766106320445371e+08 +1.3788654132173379e+12 
+2.8000000000000003e+00 +1.6766613858223625e+00 -3.3433631753426472e+00 +6.8847336574138113e+04 -5.9560022010793447e+08 +1.3756916333023232e+12 
+2.9000000000000004e+00 +1.6766554682354133e+00 -3.2694868741571952e+00 +6.8396081816673381e+04 -5.9383293157777727e+08 +1.3729930868909094e+12 
+3.0000000000000000e+00 +1.6766494262653113e+00 -3.1988485131135431e+00 +6.8012446036738867e+04 -5.9241685895132446e+08 +1.3708602566776797e+12 
+3.1000000000000001e+00 +1.6766432691046464e+00 -3.1320701046294772e+00 +6.7705198311935586e+04 -5.9139471682322896e+08 +1.3693601555936357e+12 
+3.2000000000000002e+00 +1.6766369888466779e+00 -3.0688664438522637e+00 +6.7470775509604209e+04 -5.9074942726625788e+08 +1.3684659100073960e+12 
+3.3000000000000003e+00 +1.6766305733143860e+00 -3.0087257059965618e+00 +6.7302533477761768e+04 -5.9044897255007398e+08 +1.3681271860162573e+12 
+3.4000000000000004e+00 +1.6766240103272123e+00 -2.9511359260172525e+00 +6.7193826534517852e+04 -5.9046132871875536e+08 +1.3682936412536692e+12 
+3.5000000000000000e+00 +1.6766172877071515e+00 -2.8955852442751739e+00 +6.7138010177779535e+04 -5.9075447670438373e+08 +1.3689149400865862e+12 
+3.6000000000000001e+00 +1.6766103932766063e+00 -2.8415618157154028e+00 +6.7128440048620716e+04 -5.9129639796711254e+08 +1.3699407475395691e+12 
+3.7000000000000002e+00 +1.6766033148545496e+00 -2.7885536473446209e+00 +6.7158470103906424e+04 -5.9205506693587291e+08 +1.3713207189141765e+12 
+3.8000000000000003e+00 +1.6765960402628020e+00 -2.7360488779852763e+00 +6.7221455852232713e+04 -5.9299846464690554e+08 +1.3730045187684707e+12 
+3.9000000000000004e+00 +1.6765885573225321e+00 -2.6835356055599342e+00 +6.7310752265342511e+04 -5.9409456971976650e+08 +1.3749418081598022e+12 
+4.0000000000000000e+00 +1.6765808538585270e+00 -2.6305020858368282e+00 +6.7419716132702786e+04 -5.9531136843134105e+08 +1.3770822588079395e+12 
+4.1000000000000005e+00 +1.6765729157050873e+00 -2.5763507329187791e+00 +6.7540516576170368e+04 -5.9661068277195561e+08 +1.3793650901762400e+12 
+4.2000000000000002e+00 +1.6765647207818484e+00 -2.5201425173858660e+00 +6.7660593387293309e+04 -5.9792976546367276e+08 +1.3816878332188416e+12 
+4.2999999999999998e+00 +1.6765562450225655e+00 -2.4608527799213635e+00 +6.7766201193612316e+04 -5.9919971566226256e+08 +1.3839375817297979e+12 
+4.4000000000000004e+00 +1.6765474643625875e+00 -2.3974569062324838e+00 +6.7843595004301125e+04 -6.0035163379032624e+08 +1.3860014309543779e+12 
+4.5000000000000000e+00 +1.6765383547353876e+00 -2.3289302163014693e+00 +6.7879029156246936e+04 -6.0131661763832545e+08 +1.3877664726483396e+12 
+4.6000000000000005e+00 +1.6765288920769972e+00 -2.2542481335141886e+00 +6.7858759137305067e+04 -6.0202576975898433e+08 +1.3891198051292197e+12 
+4.7000000000000002e+00 +1.6765190523209463e+00 -2.1723859737532991e+00 +6.7769039202112588e+04 -6.0241018751223195e+08 +1.3899485194783279e+12 
+4.8000000000000007e+00 +1.6765088114030156e+00 -2.0823191547291118e+00 +6.7596124799395257e+04 -6.0240097334530413e+08 +1.3901397139164224e+12 
+4.9000000000000004e+00 +1.6764981452583934e+00 -1.9830230560438364e+00 +6.7326270871403540e+04 -6.0192922740479696e+08 +1.3895804833081787e+12 
+5.0000000000000000e+00 +1.6764870298204764e+00 -1.8734729982447844e+00 +6.6945731788758581e+04 -6.0092604770118606e+08 +1.3881579197945200e+12 
+5.1000000000000005e+00 +1.6764754502461721e+00 -1.7531444807861634e+00 +6.6447821435060832e+04 -5.9935837052816093e+08 +1.3858183269092961e+12 
+5.2000000000000002e+00 +1.6764634285679010e+00 -1.6235130082457401e+00 +6.5854084157468926e+04 -5.9733645489673233e+08 +1.3827448128766597e+12 
+5.3000000000000007e+00 +1.6764509960422582e+00 -1.4865542999360062e+00 +6.5193124264035527e+04 -5.9500640007407367e+08 +1.3791797001399277e+12 
+5.4000000000000004e+00 +1.6764381839266487e+00 -1.3442441085703249e+00 +6.4493546435642318e+04 -5.9251430686533904e+08 +1.3753653132514985e+12 
+5.5000000000000000e+00 +1.6764250234725362e+00 -1.1985579455973230e+00 +6.3783952692621337e+04 -5.9000626518797755e+08 +1.3715439619136807e+12 
+5.6000000000000005e+00 +1.6764115459384465e+00 -1.0514716080881730e+00 +6.3092948195972902e+04 -5.8762837778579092e+08 +1.3679579732971870e+12 
+5.7000000000000002e+00 +1.6763977825795469e+00 -9.0496075685523436e-01 +6.2449136606163076e+04 -5.8552674126833284e+08 +1.3648496662117290e+12 
+5.8000000000000007e+00 +1.6763837646492246e+00 -7.6100098581224829e-01 +6.1881120880070725e+04 -5.8384744945953631e+08 +1.3624613557603306e+12 
+5.9000000000000004e+00 +1.6763695234041573e+00 -6.2156800847669069e-01 +6.1417505198181301e+04 -5.8273660092112577e+08 +1.3610353632378652e+12 
+6.0000000000000000e+00 +1.6763550900976736e+00 -4.8863742014462408e-01 +6.1086892561559376e+04 -5.8234028974370682e+08 +1.3608140041995295e+12 
+6.1000000000000005e+00 +1.6763404826633921e+00 -3.6348325563191147e-01 +6.0907957881713613e+04 -5.8275375956136680e+08 +1.3619546939846821e+12 
+6.2000000000000002e+00 +1.6763256657180270e+00 -2.4457181935235678e-01 +6.0859647652714106e+04 -5.8386878740138149e+08 +1.3642751596106531e+12 
+6.3000000000000007e+00 +1.6763105905625355e+00 -1.2966802724379703e-01 +6.0910982271209221e+04 -5.8552630828439951e+08 +1.3675082397203862e+12 
+6.4000000000000004e+00 +1.6762952084878233e+00 -1.6536388322061380e-02 +6.1030977636467564e+04 -5.8756723876594865e+08 +1.3713867476901555e+12 
+6.5000000000000000e+00 +1.6762794707909086e+00 +9.7058342745578410e-02 +6.1188652346725554e+04 -5.8983250643436515e+08 +1.3756435119429229e+12 
+6.6000000000000005e+00 +1.6762633287711308e+00 +2.1335131236028457e-01 +6.1353026132636078e+04 -5.9216304363980532e+08 +1.3800113675300686e+12 
+6.7000000000000002e+00 +1.6762467337185638e+00 +3.3457804905329269e-01 +6.1493114451123161e+04 -5.9439976504618990e+08 +1.3842231251657224e+12 
+6.8000000000000007e+00 +1.6762296369330854e+00 +4.6297368160455565e-01 +6.1577937192729485e+04 -5.9638360355375242e+08 +1.3880116205431572e+12 
+6.9000000000000004e+00 +1.6762119897084127e+00 +6.0077358328008323e-01 +6.1576511589195979e+04 -5.9795548128508878e+08 +1.3911096747569856e+12 
+7.0000000000000000e+00 +1.6761937433404022e+00 +7.5021304892483620e-01 +6.1457855672536913e+04 -5.9895632344590163e+08 +1.3932501129093994e+12 
+7.1000000000000005e+00 +1.6761748604209892e+00 +9.1289406019148689e-01 +6.1200072238853063e+04 -5.9927385016928685e+08 +1.3942441743144189e+12 
+7.2000000000000002e+00 +1.6761553487293279e+00 +1.0878852697769192e+00 +6.0817603669685581e+04 -5.9898296255311644e+08 +1.3942167559186387e+12 
+7.3000000000000007e+00 +1.6761352273372445e+00 +1.2736221526632507e+00 +6.0333975621136960e+04 -5.9820535051515484e+08 +1.3933711605223401e+12 
+7.4000000000000004e+00 +1.6761145153190575e+00 +1.4685400902452370e+00 +5.9772714734515837e+04 -5.9706270788262427e+08 +1.3919106961426489e+12 
+7.5000000000000000e+00 +1.6760932317490076e+00 +1.6710744594401428e+00 +5.9157347754417293e+04 -5.9567672905977631e+08 +1.3900386717392922e+12 
+7.6000000000000005e+00 +1.6760713957016202e+00 +1.8796606333224475e+00 +5.8511401414196363e+04 -5.9416910825229168e+08 +1.3879583958480825e+12 
+7.7000000000000002e+00 +1.6760490262491412e+00 +2.0927340737604645e+00 +5.7858401489468888e+04 -5.9266153580013239e+08 +1.3858731717813345e+12 
+7.8000000000000007e+00 +1.6760261424640186e+00 +2.3087302383635508e+00 +5.7221873779609428e+04 -5.9127570207996225e+08 +1.3839863028434976e+12 
+7.9000000000000004e+00 +1.6760027634237420e+00 +2.5260843753880584e+00 +5.6625346424470663e+04 -5.9013330713986957e+08 +1.3825011056273845e+12 
+8.0000000000000000e+00 +1.6759789082009153e+00 +2.7432319310867874e+00 +5.6092345384217806e+04 -5.8935604211480618e+08 +1.3816208845714958e+12 
+8.0999999999999996e+00 +1.6759545868455212e+00 +2.9590718092836883e+00 +5.5639916425613439e+04 -5.8903281033348358e+08 +1.3814951595441226e+12 
+8.2000000000000011e+00 +1.6759297733083276e+00 +3.1743570895862505e+00 +5.5259180797963454e+04 -5.8912134875189543e+08 +1.3820582916293220e+12 
+8.3000000000000007e+00 +1.6759044325211820e+00 +3.3903041591288114e+00 +5.4934781218445336e+04 -5.8954661334569740e+08 +1.3831908666828489e+12 
+8.4000000000000004e+00 +1.6758785294164724e+00 +3.6081293769718834e+00 +5.4651360759064912e+04 -5.9023356167651546e+08 +1.3847734728614983e+12 
+8.5000000000000000e+00 +1.6758520289191985e+00 +3.8290494059465270e+00 +5.4393559106961067e+04 -5.9110713733895934e+08 +1.3866866791459202e+12 
+8.5999999999999996e+00 +1.6758248959618280e+00 +4.0542806093774661e+00 +5.4146019229890415e+04 -5.9209229729702783e+08 +1.3888110727011052e+12 
+8.7000000000000011e+00 +1.6757970954736858e+00 +4.2850394644037673e+00 +5.3893382939969219e+04 -5.9311399407384408e+08 +1.3910272349275437e+12 
+8.8000000000000007e+00 +1.6757685923846397e+00 +4.5225424461582566e+00 +5.3620291926618098e+04 -5.9409717926845241e+08 +1.3932157455349502e+12 
+8.9000000000000004e+00 +1.6757393516235601e+00 +4.7680060542844931e+00 +5.3311387722791158e+04 -5.9496680416935718e+08 +1.3952571841449707e+12 
+9.0000000000000000e+00 +1.6757093381195451e+00 +5.0226467874294132e+00 +5.2951311814867688e+04 -5.9564781970853055e+08 +1.3970321297245032e+12 
+9.0999999999999996e+00 +1.6756785215999057e+00 +5.2873993075623025e+00 +5.2528600843359542e+04 -5.9608406031950569e+08 +1.3984504325485535e+12 
+9.2000000000000011e+00 +1.6756468909636040e+00 +5.5620718050105014e+00 +5.2047362308993623e+04 -5.9629485419198525e+08 +1.3995389728841597e+12 
+9.3000000000000007e+00 +1.6756144399161375e+00 +5.8461903020976402e+00 +5.1515602487806565e+04 -5.9631842776351821e+08 +1.4003539223588848e+12 
+9.4000000000000004e+00 +1.6755811621471308e+00 +6.1392814682396297e+00 +5.0941320478906659e+04 -5.9619297794833815e+08 +1.4009514121556265e+12 
+9.5000000000000000e+00 +1.6755470513607524e+00 +6.4408713739972256e+00 +5.0332522064713434e+04 -5.9595672927087963e+08 +1.4013876113986826e+12 
+9.6000000000000014e+00 +1.6755121012526430e+00 +6.7504864432919431e+00 +4.9697209066812677e+04 -5.9564788983929777e+08 +1.4017186665970085e+12 
+9.7000000000000011e+00 +1.6754763055229431e+00 +7.0676529175239544e+00 +4.9043385330304431e+04 -5.9530467609491038e+08 +1.4020007356929285e+12 
+9.8000000000000007e+00 +1.6754396578687052e+00 +7.3918971569381231e+00 +4.8379053424249920e+04 -5.9496529933552992e+08 +1.4022899696783689e+12 
+9.9000000000000004e+00 +1.6754021519873765e+00 +7.7227455103384246e+00 +4.7712216017601808e+04 -5.9466797120321500e+08 +1.4026425199572026e+12 
+1.0000000000000000e+01 +1.6753637815792655e+00 +8.0597242106155154e+00 +4.7050877056368270e+04 -5.9445090856406868e+08 +1.4031145450571790e+12 
+1.0100000000000001e+01 +1.6753245352452311e+00 +8.4025963254460496e+00 +4.6399905304836007e+04 -5.9433737914817822e+08 +1.4037393675048303e+12 
+1.0200000000000001e+01 +1.6752843811966227e+00 +8.7520719183214020e+00 +4.5751632632073444e+04 -5.9429086995457280e+08 +1.4044589875244561e+12 
+1.0300000000000001e+01 +1.6752432825522805e+00 +9.1090976016405349e+00 +4.5095258915601749e+04 -5.9425993202548504e+08 +1.4051925874513828e+12 
+1.0400000000000000e+01 +1.6752012024261331e+00 +9.4746201965544490e+00 +4.4419981657994620e+04 -5.9419310646260381e+08 +1.4058593358298259e+12 
+1.0500000000000000e+01 +1.6751581039363024e+00 +9.8495863459751885e+00 +4.3715000390519308e+04 -5.9403894286248100e+08 +1.4063784129934822e+12 
+1.0600000000000001e+01 +1.6751139501991250e+00 +1.0234942769792903e+01 +4.2969513757400928e+04 -5.9374598707092631e+08 +1.4066689940309619e+12 
+1.0700000000000001e+01 +1.6750687043306671e+00 +1.0631636189574664e+01 +4.2172720454821698e+04 -5.9326278535702276e+08 +1.4066502548262473e+12 
+1.0800000000000001e+01 +1.6750223294466531e+00 +1.1040613359787493e+01 +4.1313818677808958e+04 -5.9253788153550935e+08 +1.4062413675044365e+12 
+1.0900000000000000e+01 +1.6749747886646249e+00 +1.1462820939167916e+01 +4.0382007836212608e+04 -5.9151982485463488e+08 +1.4053615120711045e+12 
+1.1000000000000000e+01 +1.6749260451012704e+00 +1.1899205639511839e+01 +3.9366486623685647e+04 -5.9015716125587034e+08 +1.4039298636431199e+12 
+1.1100000000000001e+01 +1.6748760669281602e+00 +1.2350389625592085e+01 +3.8261024026145235e+04 -5.8842087425508237e+08 +1.4019011356733362e+12 
+1.1200000000000001e+01 +1.6748248425504773e+00 +1.2815696359402702e+01 +3.7077675501349695e+04 -5.8637171835342550e+08 +1.3993722221925208e+12 
+1.1300000000000001e+01 +1.6747723654261488e+00 +1.3294124844839175e+01 +3.5833065797897019e+04 -5.8409288145685530e+08 +1.3964755498007271e+12 
+1.1400000000000000e+01 +1.6747186290186260e+00 +1.3784673877041321e+01 +3.4543821870622123e+04 -5.8166756025192368e+08 +1.3933435568419717e+12 
+1.1500000000000000e+01 +1.6746636267880082e+00 +1.4286342375364491e+01 +3.3226569379824417e+04 -5.7917894632760048e+08 +1.3901086748989766e+12 
+1.1600000000000001e+01 +1.6746073521923075e+00 +1.4798129349282787e+01 +3.1897932951666775e+04 -5.7671022692048299e+08 +1.3869033294934673e+12 
+1.1700000000000001e+01 +1.6745497986904683e+00 +1.5319033766754204e+01 +3.0574537695642994e+04 -5.7434459131893218e+08 +1.3838599490206316e+12 
+1.1800000000000001e+01 +1.6744909597483650e+00 +1.5848054320802499e+01 +2.9273011724539920e+04 -5.7216524104603648e+08 +1.3811109785236807e+12 
+1.1900000000000000e+01 +1.6744308288220389e+00 +1.6384190094282072e+01 +2.8009978893872660e+04 -5.7025536028268290e+08 +1.3787888394474890e+12 
+1.2000000000000000e+01 +1.6743693993745203e+00 +1.6926439893344750e+01 +2.6802066078477146e+04 -5.6869814550287020e+08 +1.3770259699591160e+12 
+1.2100000000000001e+01 +1.6743066578553452e+00 +1.7474124914983314e+01 +2.5661676772206087e+04 -5.6755678522011781e+08 +1.3759242713516116e+12 
+1.2200000000000001e+01 +1.6742425626957944e+00 +1.8027854479370053e+01 +2.4584336794061233e+04 -5.6681450093967700e+08 +1.3754635858678811e+12 
+1.2300000000000001e+01 +1.6741770653097803e+00 +1.8588560457712688e+01 +2.3561346796330567e+04 -5.6643449884349132e+08 +1.3755932087784900e+12 
+1.2400000000000000e+01 +1.6741101171191337e+00 +1.9157174395812365e+01 +2.2584011056326977e+04 -5.6638000007164621e+08 +1.3762624558930117e+12 
+1.2500000000000000e+01 +1.6740416695397604e+00 +1.9734628085439812e+01 +2.1643631090375009e+04 -5.6661421430584323e+08 +1.3774206272174985e+12 
+1.2600000000000001e+01 +1.6739716739924864e+00 +2.0321853114207457e+01 +2.0731510705972778e+04 -5.6710036073447037e+08 +1.3790170358676775e+12 
+1.2700000000000001e+01 +1.6739000818953189e+00 +2.0919781188351603e+01 +1.9838952370122708e+04 -5.6780165296234560e+08 +1.3810009872409788e+12 
+1.2800000000000001e+01 +1.6738268446670419e+00 +2.1529343978968654e+01 +1.8957258960906282e+04 -5.6868130633972943e+08 +1.3833217891764995e+12 
+1.2900000000000000e+01 +1.6737519137266341e+00 +2.2151473148768428e+01 +1.8077733453122255e+04 -5.6970253662948036e+08 +1.3859287500965554e+12 
+1.3000000000000000e+01 +1.6736752404928013e+00 +2.2787100375226522e+01 +1.7191678635379554e+04 -5.7082855876524615e+08 +1.3887711772235579e+12 
+1.3100000000000001e+01 +1.6735967771738816e+00 +2.3437066504834757e+01 +1.6291371406174858e+04 -5.7202520468640065e+08 +1.3917986129642544e+12 
+1.3200000000000001e+01 +1.6735164791344019e+00 +2.4101849166437116e+01 +1.5372983849507491e+04 -5.7326876896662450e+08 +1.3949615328362610e+12 
+1.3300000000000001e+01 +1.6734343025275560e+00 +2.4781835200394031e+01 +1.4433661671707734e+04 -5.7453816113750541e+08 +1.3982106446952810e+12 
+1.3400000000000000e+01 +1.6733502035063696e+00 +2.5477411449443569e+01 +1.3470550581506757e+04 -5.7581229082053208e+08 +1.4014966565996433e+12 
+1.3500000000000000e+01 +1.6732641382264617e+00 +2.6188964656617660e+01 +1.2480797353451591e+04 -5.7707007191028368e+08 +1.4047702823514248e+12 
+1.3600000000000001e+01 +1.6731760628410794e+00 +2.6916881660907226e+01 +1.1461547704789320e+04 -5.7829041397389627e+08 +1.4079822298476843e+12 
+1.3700000000000001e+01 +1.6730859335033399e+00 +2.7661549302228313e+01 +1.0409947364655320e+04 -5.7945222667803514e+08 +1.4110832071644956e+12 
+1.3800000000000001e+01 +1.6729937063672011e+00 +2.8423354390577245e+01 +9.3231423716466197e+03 -5.8053442091103756e+08 +1.4140239240081689e+12 
+1.3900000000000000e+01 +1.6728993375871024e+00 +2.9202683712508438e+01 +8.1982790484560228e+03 -5.8151590879483914e+08 +1.4167550918378071e+12 
+1.4000000000000000e+01 +1.6728027833177110e+00 +2.9999924049456745e+01 +7.0325037456137452e+03 -5.8237560248353136e+08 +1.4192274220737566e+12 
+1.4100000000000001e+01 +1.6727039980072094e+00 +3.0815442118640366e+01 +5.8237939790971213e+03 -5.8309877849749005e+08 +1.4214057955314280e+12 
+1.4200000000000001e+01 +1.6726029292934208e+00 +3.1649523759233382e+01 +4.5734586898400948e+03 -5.8369619824594784e+08 +1.4233118077537634e+12 
+1.4300000000000001e+01 +1.6724995231125592e+00 +3.2502434550839340e+01 +3.2836401385604831e+03 -5.8418499634614396e+08 +1.4249812357793469e+12 
+1.4400000000000000e+01 +1.6723937253939989e+00 +3.3374440348524267e+01 +1.9564775485579394e+03 -5.8458229496557605e+08 +1.4264498396343103e+12 
+1.4500000000000000e+01 +1.6722854820766211e+00 +3.4265806625781842e+01 +5.9411433048157858e+02 -5.8490523336417079e+08 +1.4277534026226641e+12 
+1.4600000000000001e+01 +1.6721747390925483e+00 +3.5176799123205292e+01 -8.0130900620601665e+02 -5.8517093904323030e+08 +1.4289276921171855e+12 
+1.4700000000000001e+01 +1.6720614423728295e+00 +3.6107683637351627e+01 -2.2276526552080086e+03 -5.8539653638391626e+08 +1.4300084709931121e+12 
+1.4800000000000001e+01 +1.6719455378562258e+00 +3.7058725635126699e+01 -3.6827730541749775e+03 -5.8559916549246919e+08 +1.4310315239362480e+12 
+1.4900000000000000e+01 +1.6718269714740261e+00 +3.8030190903922744e+01 -5.1645302993803107e+03 -5.8579595113607883e+08 +1.4320326143335466e+12 
+1.5000000000000000e+01 +1.6717056891603570e+00 +3.9022345101604436e+01 -6.6707829567508543e+03 -5.8600402464240146e+08 +1.4330475148246287e+12 
+1.5100000000000001e+01 +1.6715816391504468e+00 +4.0035251387422264e+01 -8.1965158911098224e+03 -5.8625418560397530e+08 +1.4341327313163838e+12 
+1.5200000000000001e+01 +1.6714547788889933e+00 +4.1068162672740108e+01 -9.7252160197170160e+03 -5.8663192056285810e+08 +1.4354277227849102e+12 
+1.5300000000000001e+01 +1.6713250681208809e+00 +4.2120129401660925e+01 -1.1237496863233733e+04 -5.8723638319883668e+08 +1.4370926800571462e+12 
+1.5400000000000000e+01 +1.6711924665912576e+00 +4.3190202006667533e+01 -1.2713971809413053e+04 -5.8816672774941838e+08 +1.4392877947348000e+12 
+1.5500000000000000e+01 +1.6710569340444088e+00 +4.4277430953336044e+01 -1.4135254594152988e+04 -5.8952210707706439e+08 +1.4421732565947251e+12 
+1.5600000000000001e+01 +1.6709184302266642e+00 +4.5380866622601118e+01 -1.5481958015132621e+04 -5.9140167788899684e+08 +1.4459092606577913e+12 
+1.5700000000000001e+01 +1.6707769148851030e+00 +4.6499559368071658e+01 -1.6734694576160397e+04 -5.9390459809701967e+08 +1.4506560036053958e+12 
+1.5800000000000001e+01 +1.6706323477620213e+00 +4.7632559743252763e+01 -1.7874079041810302e+04 -5.9713001617316341e+08 +1.4565736690365999e+12 
+1.5900000000000000e+01 +1.6704846886043643e+00 +4.8778918100995504e+01 -1.8880723873943280e+04 -6.0117709027953959e+08 +1.4638224540415203e+12 
+1.6000000000000000e+01 +1.6703338971579664e+00 +4.9937684843548283e+01 -1.9735242103535777e+04 -6.0614497618902826e+08 +1.4725625523970750e+12 
+1.6100000000000001e+01 +1.6701799048034573e+00 +5.1109310666966714e+01 -2.0438212029260885e+04 -6.1202988067945218e+08 +1.4827820390833042e+12 
+1.6199999999999999e+01 +1.6700225294722779e+00 +5.2299846924164811e+01 -2.1070066922965347e+04 -6.1841624066949153e+08 +1.4937805507420032e+12 
+1.6300000000000001e+01 +1.6698615607342884e+00 +5.3516745110870666e+01 -2.1731203625521841e+04 -6.2478555114209521e+08 +1.5046856149632224e+12 
+1.6400000000000002e+01 +1.6696967881565612e+00 +5.4767456841004730e+01 -2.2522020312330314e+04 -6.3061930153312576e+08 +1.5146247516859819e+12 
+1.6500000000000000e+01 +1.6695280013084270e+00 +5.6059433633241674e+01 -2.3542914088421428e+04 -6.3539898571043134e+08 +1.5227254869432195e+12 
+1.6600000000000001e+01 +1.6693549897565434e+00 +5.7400127106149220e+01 -2.4894283100769040e+04 -6.3860609344476676e+08 +1.5281153413451265e+12 
+1.6699999999999999e+01 +1.6691775430719653e+00 +5.8796988714571128e+01 -2.6676523780721454e+04 -6.3972212129543030e+08 +1.5299218445431516e+12 
+1.6800000000000001e+01 +1.6689954508219498e+00 +6.0257470056472911e+01 -2.8990034080376681e+04 -6.3822855972989392e+08 +1.5272725179910427e+12 
+1.6900000000000002e+01 +1.6688085025724881e+00 +6.1789022792419011e+01 -3.1935212709204952e+04 -6.3360689594148421e+08 +1.5192948785114473e+12 
+1.7000000000000000e+01 +1.6686164878940792e+00 +6.3399098385989049e+01 -3.5612456107585727e+04 -6.2533862668681777e+08 +1.5051164562512139e+12 
+1.7100000000000001e+01 +1.6684192621859557e+00 +6.5091418349140469e+01 -4.0068508515059490e+04 -6.1318138112170184e+08 +1.4843272541931304e+12 
+1.7199999999999999e+01 +1.6682169441750145e+00 +6.6854783844022208e+01 -4.5135499160232081e+04 -5.9799734407918870e+08 +1.4583672029597456e+12 
+1.7300000000000001e+01 +1.6680097184203255e+00 +6.8674265927928033e+01 -5.0591903291822702e+04 -5.8092484031913888e+08 +1.4291387165211003e+12 
