# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=9][T/m^n] 
+0.0000000000000000e+00 +1.6767222081509365e+00 -3.3560521888074697e+00 +6.0963212587176597e+04 -5.4742747687265193e+08 +1.2914758814334729e+12 
+1.0000000000000001e-01 +1.6767224226144681e+00 -3.3719087446375684e+00 +6.1200388183106661e+04 -5.4866053412189114e+08 +1.2935463847937139e+12 
+2.0000000000000001e-01 +1.6767229991694608e+00 -3.4158230302896238e+00 +6.1859504956978788e+04 -5.5208895761379707e+08 +1.2993036361750347e+12 
+3.0000000000000004e-01 +1.6767238375731910e+00 -3.4823123929491189e+00 +6.2861952447616794e+04 -5.5730664346453154e+08 +1.3080662726300549e+12 
+4.0000000000000002e-01 +1.6767248375820267e+00 -3.5658941591663345e+00 +6.4129120072257239e+04 -5.6390748757976770e+08 +1.3191529312022092e+12 
+5.0000000000000000e-01 +1.6767258989516756e+00 -3.6610856127705578e+00 +6.5582396669642651e+04 -5.7148538320008397e+08 +1.3318822450066792e+12 
+6.0000000000000009e-01 +1.6767269214363261e+00 -3.7624039808445864e+00 +6.7143170483080350e+04 -5.7963422120770025e+08 +1.3455728440151511e+12 
+7.0000000000000007e-01 +1.6767278047940282e+00 -3.8643666535103716e+00 +6.8732831601461032e+04 -5.8794790018103170e+08 +1.3595433688460662e+12 
+8.0000000000000004e-01 +1.6767284487788492e+00 -3.9614908478398929e+00 +7.0272768122887239e+04 -5.9602031031034732e+08 +1.3731124484299434e+12 
+9.0000000000000002e-01 +1.6767287531462762e+00 -4.0482938528459096e+00 +7.1684369041956248e+04 -6.0344534575373077e+08 +1.3855987174133083e+12 
+1.0000000000000000e+00 +1.6767286176521570e+00 -4.1192929581622018e+00 +7.2889023258191010e+04 -6.0981689998399985e+08 +1.3963208092065671e+12 
